cve_estado,estado,indice,vec,01_log_pib_per_capita,01_log_remesas_per_capita,02_agua_porc_verde,03_minority_rights - minority rights,04_porcentaje_diabetes_mayores20,04_porcentaje_obesidad_mayores20,04_porcentaje_hipertension_mayores20,04_porcentaje_personas_cobertura_salud,04_acceso_hosp_gral,05_gini,05_social_unrest,05_esperanza_vida,05_acceso_preparatorias,06_tasa_delictiva_final,06_confianza_policia_estatal,06__confianza_mp_fiscalias
1,Aguascalientes,5.01132481929306,0,11.868520826369384,9.024889017190224,0.34782608695652173,55.35832381,6.4514390509999995,16.344921990000003,11.407587809999999,0.816156907,0.1963966,0.5680000000000001,13.520343302399999,75.91,0.4664306,389.44035295000003,14.779727521598085,19.394956114533873
19,Nuevo León,3.601635133262808,0.13469387975489727,12.327679472281403,8.264810020318842,0.6875,32.25100192,1.3823518099999994,7.517302300000004,6.887861789999999,0.814560506,0.296243,0.565,11.769921729,75.92,0.2673939,383.33742358,15.995354607274633,19.620574779577353
11,Guanajuato,3.239141621387418,0.16932962830603374,11.555917902374308,9.42043946021533,0.7105263157894737,50.5048776,4.122333235999999,18.925752380000002,7.748953440000001,0.793221397,0.2215489,0.5840000000000001,11.464796645,75.23,0.3551283,309.41966147000005,11.891675534659543,15.57547126581626
14,Jalisco,2.9209396444960722,0.19973338257756346,11.804527344928818,9.297689608301585,0.2222222222222222,49.973095640000004,6.415639579999999,14.109165680000004,12.10835711,0.706220096,0.2774687,0.5700000000000001,12.515643501,75.5,0.3474095,364.14101777,13.951655360786095,14.441824554209301
25,Sinaloa,2.091350842587058,0.27899943342383743,11.671210443935943,8.926935698794864,0.6454545454545455,61.64718836,3.3203956299999984,8.988579030000004,9.9160528,0.810001378,0.1966673,0.554,7.032030148,75.13,0.3054284,359.34245087,12.474424126230389,15.896469771228414
31,Yucatán,1.8906382966437063,0.29817723673509255,11.583980209335596,7.742024363706379,0.3076923076923077,80.992842551,3.3289427799999984,3.771664440000002,4.42670721,0.782365274,0.1784636,0.544,9.735777560999999,74.71,0.3350409,399.505666943,20.627745822553326,18.421520353889093
15,México,1.8300032079005106,0.3039708347397021,11.352568901754783,8.045051122457249,0.578125,48.9052524,5.049386661,16.20885611,10.57994995,0.666170288,0.2921986,0.599,12.519617837,75.48,0.5657964,382.93404328,6.743569337277071,7.294721008217242
18,Nayarit,1.8116707971742234,0.3057224709689048,11.32822107147448,9.388060893555915,0.4358974358974359,71.15640366,4.456099669999999,11.94744034,7.991532419999999,0.77899739,0.1981541,0.563,11.356448168,75.33,0.3439615,380.66529798,11.724374518318013,14.251830993542447
6,Colima,1.4066961262046789,0.3444172349129891,11.767203275870198,9.253766609310505,0.8461538461538461,11.093340080000004,3.180590839999999,5.7481982999999985,8.88522284,0.831726122,0.2179649,0.577,8.279575775,75.52,0.4597912,0,10.741598226966223,14.467634630546671
23,Quintana Roo,0.8469897418034182,0.3978963978703989,11.766815462512149,7.947165994215831,0.9215686274509803,2.814984580000001,6.6021285899999995,0,12.77528908,0.747802054,0.2333224,0.5860000000000001,9.426813029,75.48,0.3406197,360.57577297,6.759272198179535,10.17855211799824
5,Coahuila de Zaragoza,0.7876375547014864,0.4035674164157713,12.022083699414932,8.508681921703715,0.2535211267605634,49.33399501,1.66411117,11.331593130000002,3.710603370000001,0.81016318,0.2245111,0.5860000000000001,10.745917118,75.69,0.3630897,376.83628315000004,13.185527561733808,14.701620706337687
26,Sonora,0.7751235695119476,0.40476311021496547,12.096793350365012,8.570476931761263,0.5555555555555556,54.16852899,2.7795272299999993,5.08542293,1.50527662,0.814004496,0.1831827,0.5609999999999999,12.089154112,75.38,0.3129049,337.92512288,8.91992625771848,13.278301513469264
22,Querétaro,0.6770307336100218,0.4141357436212564,11.984808576881369,8.91318158807319,0.25,13.418373549999998,6.498130107999999,18.32876766,8.146236779999999,0.794606807,0.1811273,0.563,13.6300289106,75.66,0.2385172,385.03725101000003,11.634467586491262,14.047689532862961
28,Tamaulipas,0.4724814007181002,0.4336801465643433,11.77213089942946,8.678151506849119,0.6521739130434783,54.79922008,1.234053489999999,8.0710677,7.667574509999998,0.797643814,0.1929944,0.528,7.685697069,75.25,0.2848595,372.44121649,9.040273558532501,15.23205885113647
32,Zacatecas,0.3637511959099887,0.44406916570613114,11.376085748730224,9.696331454350386,0.32098765432098764,50.1057051,3.125157269999999,15.479636710000001,7.223952050000001,0.798883942,0.1307833,0.581,10.671766362,75.05,0.2307462,331.83116297000004,12.176033350375585,16.314019699589196
29,Tlaxcala,0.34012500033847926,0.44632661568034215,11.095878545868636,8.291149706857222,0.09523809523809523,80.633445984,4.713861316999999,16.620943080000004,13.073456069999999,0.734439979,0.1550958,0.627,10.262394984,75.27,0.384384,394.86973931,8.189785280353089,7.4327415887896615
16,Michoacán de Ocampo,0.2964567523700307,0.4504990557565215,11.31689841552015,9.8380696608656,0.42696629213483145,61.949759240000006,4.0782283249999995,17.29413865,6.956716669999999,0.624197331,0.2235635,0.5760000000000001,5.461635134,74.87,0.3008118,337.75323595000003,8.55872717354286,11.745699801824095
27,Tabasco,-0.0012814751135607483,0.47894752736593244,12.103840564546879,7.8445130730529815,0.4318181818181818,56.40819846,1.8584563999999997,1.6815764600000023,4.142166190000001,0.685555386,0.2374961,0.5529999999999999,9.396020606,75.06,0.3042225,367.11167954,8.899968041921387,13.050207371494501
